"","lemma","total","v1s","v1sFreq","v1p","v1pFreq","v2s","v2sFreq","v2p","v2pFreq","v3s","v3sFreq","v3p","v3pFreq"
"302","comedo1",4,2,0.5,0,0,0,0,0,0,2,0.5,0,0
"303","commemoro",1,0,0,0,0,0,0,0,0,1,1,0,0
"304","commemoro1",1,0,0,0,0,0,0,0,0,1,1,0,0
"305","commendo",1,0,0,0,0,0,0,0,0,1,1,0,0
"306","commendo1",2,2,1,0,0,0,0,0,0,0,0,0,0
"307","comminuo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"308","committo",3,0,0,0,0,1,0.333333333333333,0,0,2,0.666666666666667,0,0
"309","committo1",3,0,0,0,0,0,0,0,0,2,0.666666666666667,1,0.333333333333333
"310","commoveo1",1,0,0,0,0,1,1,0,0,0,0,0,0
"311","commuto",2,0,0,0,0,0,0,0,0,2,1,0,0
"312","como1",1,0,0,0,0,0,0,0,0,0,0,1,1
"313","compareo",1,0,0,0,0,0,0,0,0,1,1,0,0
"314","comparo2",4,1,0.25,0,0,0,0,0,0,1,0.25,2,0.5
"315","compello",1,0,0,0,0,0,0,0,0,1,1,0,0
"316","compello1",1,0,0,0,0,0,0,0,0,1,1,0,0
"317","comperio",3,0,0,0,0,0,0,0,0,3,1,0,0
"318","comperio1",2,1,0.5,0,0,1,0.5,0,0,0,0,0,0
"319","compesco",2,0,0,0,0,0,0,0,0,2,1,0,0
"320","compesco1",2,0,0,0,0,1,0.5,0,0,1,0.5,0,0
"321","competo",1,0,0,0,0,0,0,0,0,1,1,0,0
"322","compleo",1,0,0,0,0,0,0,0,0,1,1,0,0
"323","complodo1",1,0,0,0,0,0,0,0,0,1,1,0,0
"324","compono",1,1,1,0,0,0,0,0,0,0,0,0,0
"325","compono1",2,0,0,0,0,1,0.5,0,0,1,0.5,0,0
"326","comprehendo1",1,1,1,0,0,0,0,0,0,0,0,0,0
"327","comprimo",2,0,0,0,0,0,0,0,0,2,1,0,0
"328","comprimo1",1,1,1,0,0,0,0,0,0,0,0,0,0
"329","comprobo",1,0,0,0,0,0,0,0,0,0,0,1,1
"330","compungo",1,1,1,0,0,0,0,0,0,0,0,0,0
"331","computo",1,0,0,0,0,1,1,0,0,0,0,0,0
"332","computo1",1,0,0,0,0,0,0,0,0,0,0,1,1
"333","concedo",4,0,0,0,0,0,0,0,0,4,1,0,0
"334","concedo1",3,1,0.333333333333333,0,0,1,0.333333333333333,0,0,1,0.333333333333333,0,0
"335","concido1",3,0,0,0,0,0,0,0,0,1,0.333333333333333,2,0.666666666666667
"336","concido2",1,0,0,0,0,0,0,0,0,1,1,0,0
"337","concieo",2,0,0,0,0,0,0,0,0,2,1,0,0
"338","concinno",1,0,0,0,0,0,0,0,0,1,1,0,0
"339","concipio",1,0,0,0,0,0,0,0,0,1,1,0,0
"340","concipio1",7,0,0,0,0,0,0,0,0,6,0.857142857142857,1,0.142857142857143
